Coin,Name,Symbol,PCoin,PPrice,Trend_1M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
BBF,BBF/USDT,bbfusdt,4,4,2,0.0,0.0,0,0,0,0,27.8706,25.1,27.7771,27.7771,10027.361,-9972.171,27.7771,27.7771,27.7771,27.7771,False,False,0,0.0,25.1,28.0066,27.3194
HPT,HPT/USDT,hptusdt,4,6,2,0.0,0.0,0,1,0,1,0.002001,0.002001,0.002002,0.002003,10000.002001,-9999.997997,0.002002,0.002002,0.002002,0.002002,False,False,0,0.002003,0.002001,0.002003,0.002001
NEST,NEST/USDT,nestusdt,2,5,0,0.03337,0.0,1,0,0,0,0.03597,0.03597,0.03337,0.034,0.03397,-9999.96403,0.03337,0.034,0.03372,0.03372,False,False,1,0.0,0.03337,0.03597,0.03597
OGO,OGO/USDT,ogousdt,2,6,0,0.0,0.0,2,1,0,1,0.000741,0.000741,0.000654,0.00079,0.00079,-9999.99921,0.000654,0.000654,0.000654,0.000654,False,False,0,0.00079,0.000741,0.00079,0.000741
DOCK,DOCK/USDT,dockusdt,2,6,2,0.0,0.0,1,0,0,0,0.021137,0.021137,0.020579,0.020582,10000.020579,-9999.978863,0.020582,0.020582,0.020582,0.020582,False,False,1,0.0,0.020579,0.021137,0.021137
SOS,SOS/USDT,sosusdt,2,8,0,4.3e-07,0.0,1,0,0,0,6e-07,6e-07,4.3e-07,4.7e-07,4.7e-07,-9999.9999994,4.3e-07,3.8e-07,3.8e-07,3.8e-07,False,False,1,4.7e-07,4.3e-07,6e-07,6e-07
NEXO,NEXO/USDT,nexousdt,2,4,2,1.3073,1.3065,1,0,1,1,1.3424,1.3135,1.2978,1.3083,10001.3031,-9998.6647,1.3073,1.3065,1.3078,1.3078,False,False,1,1.3083,1.2978,1.3424,1.3353
RUFF,RUFF/USDT,ruffusdt,4,6,0,0.0,0.0,1,2,0,1,0.000587,0.000583,0.000579,0.000587,0.000587,0.000579,0.000579,0.000582,0.000582,0.000582,True,False,1,0.000587,0.000579,0.000587,0.000585
MONO,MONO/USDT,monousdt,4,4,2,0.5001,0.0,0,1,0,1,0.4941,0.4941,0.5001,0.5023,10000.4941,-9999.4977,0.5001,0.4999,0.4999,0.4999,False,False,0,0.5023,0.4941,0.5023,0.4941
OMG,OMG/USDT,omgusdt,4,4,2,2.4733,2.4784,1,0,1,1,2.5801,2.5774,2.464,2.4784,10002.464,-9997.4226,2.4777,2.4784,2.4548,2.4548,False,False,1,2.464,2.464,2.5801,2.5801
NSURE,NSURE/USDT,nsureusdt,4,4,2,0.0,0.0,0,0,0,0,0.0222,0.0208,0.0216,0.0216,10000.022,-9999.9782,0.0216,0.0216,0.0216,0.0216,False,False,0,0.0,0.0208,0.0216,0.0218
DOT,DOT/USDT,dotusdt,4,4,0,9.7706,9.7344,1,0,1,0,10.2029,10.1904,9.7706,9.8098,9.8098,-9989.8096,9.7706,9.755,9.8223,9.8223,False,False,1,9.7882,9.7706,10.2029,10.194
EGLD,EGLD/USDT,egldusdt,4,4,0,91.3322,0.0,1,0,0,0,92.5508,92.5508,91.3322,91.474,91.474,-9907.4492,91.3322,91.3166,91.4047,91.4047,False,False,1,91.474,91.3322,92.5508,92.5508
ENS,ENS/USDT,ensusdt,4,4,1,12.7544,12.9063,1,2,1,1,12.4273,12.397,12.3634,12.9063,10012.3819,12.3634,12.9155,12.9063,12.841,12.841,False,False,1,12.3634,12.3634,12.4273,12.3993
TLM,TLM/USDT,tlmusdt,4,6,0,0.035076,0.035919,1,0,1,0,0.039963,0.039963,0.035076,0.035189,0.035189,-9999.960037,0.035076,0.035189,0.034023,0.034023,False,False,1,0.035452,0.035076,0.039963,0.039963
BOO,BOO/USDT,boousdt,4,4,2,4.1,4.2653,1,0,1,1,4.4803,4.4803,4.1256,4.2653,10004.1256,-9995.5197,4.1996,4.2653,4.05,4.05,False,False,1,4.1256,4.1256,4.4803,4.4803
XMX,XMX/USDT,xmxusdt,2,8,2,0.0,1.889e-05,2,1,0,0,2.008e-05,1.989e-05,1.855e-05,2.014e-05,2.014e-05,-9999.99998004,1.884e-05,1.889e-05,1.89e-05,1.89e-05,False,False,0,0.0,1.989e-05,2.014e-05,1.99e-05
SLC,SLC/USDT,slcusdt,2,6,1,0.110572,0.114098,0,1,0,1,0.113148,0.113148,0.113257,0.114098,10000.113148,0.113257,0.113257,0.114098,0.110573,0.110573,False,False,0,0.1141,0.113148,0.114098,0.113148
BIT,BIT/USDT,bitusdt,4,4,2,0.0,0.0,1,2,0,0,0.8052,0.7999,0.8,0.8052,10000.8,0.8,0.8052,0.8052,0.8052,0.8052,False,False,1,0.0,0.8,0.8052,0.804
EGT,EGT/USDT,egtusdt,2,6,0,0.000311,0.0,1,0,0,0,0.000387,0.000387,0.000311,0.000324,0.000324,-9999.999613,0.000311,0.000324,0.000317,0.000317,False,False,1,0.000323,0.000311,0.000387,0.000387
LTC*(-3),LTC*(-3)/USDT,ltc3susdt,4,10,2,2.2399e-06,0.0,0,1,0,1,1.9713e-06,1.9713e-06,2.2399e-06,2.2586e-06,10000.0000019713,-9999.9999977414,2.2399e-06,2.2015e-06,2.2015e-06,2.2015e-06,False,False,0,2.2586e-06,1.9713e-06,2.2586e-06,1.9713e-06
WICC,WICC/USDT,wiccusdt,4,4,0,0.0735,0.0738,1,0,1,0,0.0764,0.0764,0.0735,0.0736,0.0736,-9999.9236,0.0735,0.0736,0.074,0.074,False,False,1,0.0727,0.0735,0.0764,0.0764
TINC,TINC/USDT,tincusdt,4,4,2,0.0,0.0,0,0,0,0,0.7101,0.7051,0.6798,0.6798,10000.6836,-9999.2939,0.6798,0.6798,0.6798,0.6798,False,False,1,0.0,0.6711,0.7101,0.7081
XEC,XEC/USDT,xecusdt,2,8,0,4.549e-05,0.0,1,0,0,0,4.783e-05,4.783e-05,4.549e-05,4.574e-05,4.574e-05,-9999.99995217,4.549e-05,4.517e-05,4.517e-05,4.517e-05,False,False,1,4.574e-05,4.549e-05,4.783e-05,4.783e-05
SWRV,SWRV/USDT,swrvusdt,4,4,0,0.0605,0.0,1,0,0,0,0.0666,0.0666,0.0605,0.062,0.062,-9999.9334,0.0605,0.062,0.0627,0.0627,False,False,1,0.0639,0.0605,0.0666,0.0666
BULL,BULL/USDT,bullusdt,2,6,2,0.025412,0.0,0,1,0,1,0.024399,0.024309,0.025412,0.035,10000.024391,-9999.967334,0.025412,0.017784,0.017784,0.017784,False,False,0,0.035,0.024309,0.035,0.02439
DOT*2,DOT*2/USDT,dot2lusdt,4,4,2,0.0,0.4298,1,0,1,0,0.469,0.469,0.4277,0.4298,10000.4277,-9999.531,0.4367,0.4298,0.4367,0.4367,False,False,1,0.4277,0.4277,0.469,0.469
UNIC,UNIC/USDT,unicusdt,4,4,2,0.0,0.0,0,1,0,1,10.5521,10.5521,10.6202,10.6598,10010.5521,-9989.3402,10.6202,10.6202,10.6202,10.6202,False,False,0,10.6598,10.5521,10.6598,10.5521
WPCI,WPCI/USDT,wpciusdt,4,4,2,0.0,0.0,1,0,0,0,0.4043,0.4037,0.3918,0.394,10000.3926,-9999.5958,0.394,0.394,0.394,0.394,False,False,1,0.0,0.3918,0.4043,0.4043
NFT,NFT/USDT,nftusdt,0,10,2,0.0,0.0,1,0,0,0,7.927e-07,7.907e-07,7.802e-07,7.825e-07,10000.0000007711,-9999.9999992083,7.712e-07,7.712e-07,7.712e-07,7.712e-07,False,False,1,0.0,7.802e-07,7.927e-07,7.923e-07
VOXEL,VOXEL/USDT,voxelusdt,4,4,0,0.5969,0.0,1,0,0,0,0.725,0.7189,0.5969,0.603,0.603,-9999.278,0.5969,0.603,0.6046,0.6046,False,False,1,0.0,0.5969,0.725,0.7223
ATP,ATP/USDT,atpusdt,2,7,0,0.00012,0.0,1,0,0,0,0.0001443,0.0001442,0.00012,0.0001201,0.0001201,-9999.9998558,0.00012,0.0001201,0.0001255,0.0001255,False,False,1,0.0001251,0.00012,0.0001443,0.0001442
ORBR,ORBR/USDT,orbrusdt,4,4,2,0.0,0.0,0,0,0,1,21.0764,20.9349,20.9772,21.0185,10020.9875,-9979.014,20.9772,20.9772,20.9772,20.9772,False,False,0,21.0185,20.9349,21.0185,21.0398
RSR,RSR/USDT,rsrusdt,2,6,2,0.004306,0.004304,1,0,1,1,0.004713,0.004709,0.004269,0.004304,10000.004273,-9999.995291,0.004306,0.004304,0.00431,0.00431,False,False,1,0.004269,0.004269,0.004713,0.004709
GT,GT/USDT,gtusdt,2,4,0,5.651,0.0,1,0,0,0,5.7764,5.7764,5.651,5.7222,5.6839,-9994.2236,5.651,5.7222,5.664,5.664,False,False,1,0.0,5.651,5.7764,5.7764
UUU,UUU/USDT,uuuusdt,2,8,2,0.0,3.317e-05,1,0,1,0,3.425e-05,3.403e-05,3.239e-05,3.317e-05,10000.0000329,-9999.99996597,3.242e-05,3.317e-05,3.271e-05,3.271e-05,False,False,1,3.239e-05,3.239e-05,3.425e-05,3.419e-05
OCN,OCN/USDT,ocnusdt,4,8,2,0.0,0.0,1,0,0,0,0.00012088,0.00012038,0.00011289,0.00011461,10000.00011486,-9999.99987962,0.00011461,0.00011461,0.00011461,0.00011461,False,False,1,0.0,0.00011289,0.00012088,0.00012058
NHBTC,NHBTC/USDT,nhbtcusdt,4,4,2,0.0,0.0,0,0,0,0,0.018,0.018,0.0188,0.0188,10000.018,0.0188,0.0188,0.0188,0.0188,0.0188,False,False,0,0.0,0.018,0.0188,0.018
RING,RING/USDT,ringusdt,2,6,1,0.009135,0.009206,0,1,0,1,0.009107,0.009107,0.009125,0.009206,10000.009107,0.009125,0.009125,0.009206,0.009193,0.009193,False,False,0,0.009227,0.009107,0.009206,0.009107
WHALE,WHALE/USDT,whaleusdt,4,4,2,0.0,0.0,0,1,0,0,2.6434,2.6434,2.8616,2.886,10002.6434,-9997.114,2.8823,2.8823,2.8823,2.8823,False,False,0,0.0,2.6434,2.886,2.6434
MU,MU/USDT,muusdt,4,6,2,0.0,0.0,1,0,0,0,0.032949,0.032802,0.030938,0.032459,10000.031597,-9999.967198,0.032237,0.032237,0.032237,0.032237,False,False,1,0.0,0.030938,0.032949,0.032905
CAN,CAN/USDT,canusdt,4,6,2,0.0,0.0,1,2,0,1,0.000544,0.000544,0.000517,0.000552,10000.000517,0.000517,0.000527,0.000527,0.000527,0.000527,False,False,1,0.000552,0.000517,0.000544,0.000544
