Coin,Name,Symbol,PCoin,PPrice,Trend_4H,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
LXT,LXT/USDT,lxtusdt,2,6,2,0.0,0.0,1,2,0,1,0.00044,0.000229,0.000199,0.000722,10000.000286,0.000199,0.000494,0.000494,0.000494,0.000494,False,False,1,0.000722,0.000199,0.00044,0.000256
BRWL,BRWL/USDT,brwlusdt,4,6,1,0.0,0.1012,1,2,1,0,0.062,0.01092,0.0065,0.1012,10000.0082,0.0065,0.1241,0.1012,0.1968,0.1968,False,False,1,0.0065,0.0065,0.062,0.018068
XRP,XRP/USDT,xrpusdt,2,5,2,0.59605,0.62908,0,1,1,1,0.50356,0.33644,0.59605,0.6575,10000.41445,-9999.36548,0.59605,0.63135,0.7393,0.7393,False,False,0,0.6575,0.33644,0.6575,0.41082
THETA,THETA/USDT,thetausdt,4,4,1,0.0,2.6412,1,2,1,2,1.6532,1.1535,1.028,2.6412,10001.2406,1.028,3.1753,2.6412,2.8424,2.8424,False,False,1,1.028,1.028,1.6532,1.2193
ONSTON,ONSTON/USDT,onstonusdt,4,6,1,0.0,0.0787,1,2,1,0,0.056316,0.039809,0.035835,0.0787,10000.041312,0.035835,0.096942,0.0787,0.109717,0.109717,False,False,1,0.035835,0.035835,0.056316,0.044344
SIS,SIS/USDT,sisusdt,4,4,1,0.0,0.3511,2,1,1,1,0.2868,0.2515,0.2501,0.4422,0.4422,0.2501,1.0702,0.4422,1.1807,1.1807,False,True,0,0.2501,0.2515,0.4422,0.2804
VLX,VLX/USDT,vlxusdt,4,6,2,0.0,0.0,0,0,0,0,0.120526,0.07,0.091527,0.091527,10000.073595,-9999.911999,0.091527,0.091527,0.091527,0.091527,False,False,1,0.0,0.07,0.120526,0.07171
CERE,CERE/USDT,cereusdt,4,6,1,0.0,0.018434,0,1,0,1,0.013939,0.007939,0.016547,0.018434,10000.009899,0.016547,0.02237,0.018434,0.02237,0.02237,False,False,0,0.023395,0.007939,0.018434,0.00978
STF,STF/USDT,stfusdt,4,4,2,0.0,0.0,1,2,0,0,0.015,0.0064,0.0076,0.0506,10000.0113,0.0076,0.0502,0.0502,0.0502,0.0502,False,False,1,0.0,0.0076,0.015,0.0108
USDT,USDT/TRY,usdttry,4,3,2,0.0,0.0,1,0,0,0,16.366,15.632,13.0,14.404,10014.769,-9984.368,14.404,14.404,14.404,14.404,False,False,1,0.0,13.0,16.366,16.072
PSTAKE,PSTAKE/USDT,pstakeusdt,4,4,2,0.0,0.523,1,2,1,0,0.629,0.2195,0.2,0.7894,10000.2375,0.2,0.5709,0.523,0.7439,0.7439,False,False,1,0.3939,0.2,0.629,0.3885
