Coin,Name,Symbol,PCoin,PPrice,Trend_H1,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
SHIB,SHIB/USDT,shibusdt,2,8,0,1.163e-05,0.0,1,0,0,0,1.208e-05,1.173e-05,1.163e-05,1.188e-05,1.188e-05,-9999.99998815,1.163e-05,1.188e-05,1.213e-05,1.213e-05,False,False,1,1.204e-05,1.163e-05,1.208e-05,1.19e-05
EOS*3,EOS*3/USDT,eos3lusdt,4,10,0,7.26e-06,7.9908e-06,2,1,1,1,8.4942e-06,7.8531e-06,7.26e-06,8.4622e-06,8.4622e-06,-9999.9999916648,7.26e-06,7.6373e-06,7.89e-06,7.89e-06,False,False,0,8.4622e-06,7.8531e-06,8.4622e-06,8.12e-06
LTC*(-3),LTC*(-3)/USDT,ltc3susdt,4,10,2,2.0281e-06,2.2069e-06,1,2,1,1,2.0936e-06,2.0335e-06,1.981e-06,2.1e-06,10000.0000020237,1.981e-06,2.0281e-06,2.0178e-06,2.6507e-06,2.6507e-06,False,False,1,2.1e-06,1.981e-06,2.0936e-06,2.0594e-06
ZEC*3,ZEC*3/USDT,zec3lusdt,4,8,2,7.053e-05,7.37e-05,2,1,1,1,7.788e-05,7.096e-05,6.454e-05,8.288e-05,8.288e-05,6.454e-05,7.053e-05,8.288e-05,7.237e-05,7.237e-05,False,True,0,8.601e-05,7.096e-05,8.288e-05,7.462e-05
VRA,VRA/USDT,vrausdt,4,6,2,0.0,0.008595,2,0,1,0,0.008372,0.0078,0.00776,0.008223,0.008223,-9999.991834,0.008066,0.008223,0.008194,0.008194,False,False,0,0.00776,0.0078,0.008223,0.007989
GAL,GAL/USDT,galusdt,4,4,0,5.8074,6.7625,2,1,1,1,6.6624,6.1775,5.8074,7.1693,7.1693,-9993.1923,5.8074,6.0907,6.1532,6.1532,False,False,0,7.1693,6.1775,7.1693,6.2732
TITAN,TITAN/USDT,titanusdt,4,6,1,2.484556,2.601383,0,1,0,1,2.585244,2.514313,2.516305,2.601383,10002.514313,2.516305,2.516305,2.601383,2.72111,2.72111,False,False,0,2.577067,2.514313,2.601383,2.531506
ENS,ENS/USDT,ensusdt,4,4,1,10.1584,13.5791,2,1,1,1,12.4432,12.1391,12.0198,12.949,12.949,12.0198,12.0198,12.949,9.369,9.369,True,True,0,12.1658,12.1391,12.949,12.3958
MBOX,MBOX/USDT,mboxusdt,4,4,2,0.9787,1.2097,1,2,1,1,1.1194,1.0563,1.0039,1.2894,1.2894,1.0039,1.0039,1.2097,0.9894,0.9894,True,False,1,0.9952,1.0039,1.1194,1.0678
AVAX,AVAX/USDT,avaxusdt,4,4,0,28.9737,35.1652,1,0,1,0,32.6897,30.8286,28.9737,30.298,30.298,-9969.0908,28.9737,30.298,32.769,32.769,False,False,1,31.9494,28.9737,32.6897,31.2273
OGN,OGN/USDT,ognusdt,2,4,2,0.2174,0.2456,2,1,1,1,0.2425,0.2388,0.2327,0.2498,0.2498,-9999.7571,0.2354,0.2456,0.2215,0.2215,False,False,0,0.2327,0.2388,0.2498,0.2402
SUKU,SUKU/USDT,sukuusdt,4,4,0,0.1077,0.1369,1,2,1,1,0.1313,0.1158,0.1153,0.1534,0.1534,0.1153,0.1153,0.1201,0.0916,0.0916,True,False,1,0.1534,0.1153,0.1313,0.124
NODE,NODE/USDT,nodeusdt,2,6,2,0.0,0.0,0,0,0,0,3.9e-05,2.4e-05,3.1e-05,3.1e-05,10000.00003,-9999.999966,3.1e-05,3.1e-05,3.1e-05,3.1e-05,False,False,0,0.0,2.4e-05,3.1e-05,3.4e-05
NPT,NPT/USDT,nptusdt,4,4,1,0.0,2.7883,0,1,0,0,2.687,2.6065,2.6368,2.7883,10002.6548,2.6368,2.9814,2.7883,2.9814,2.9814,False,False,0,2.6368,2.6065,2.7883,2.6701
DOT,DOT/USDT,dotusdt,4,4,0,9.8409,10.1865,2,1,1,1,10.2984,9.94,9.8409,10.3334,10.3334,-9989.7722,9.8409,10.0989,11.1592,11.1592,False,False,0,10.3334,9.94,10.3334,10.0742
LOL,LOL/USDT,lolusdt,4,6,2,0.0,0.0,1,0,0,1,4.8e-05,2.4e-05,2e-05,2.8e-05,10000.000023,-9999.999965,2.5e-05,2.5e-05,2.5e-05,2.5e-05,False,False,1,2.8e-05,2e-05,4.8e-05,3.6e-05
GMEE,GMEE/USDT,gmeeusdt,4,4,2,0.0,0.0,1,2,0,0,0.0205,0.0196,0.0186,0.0203,0.0203,0.0186,0.0186,0.0203,0.0203,0.0203,True,True,1,0.0,0.0186,0.0205,0.0199
