ID,Coin
4703,BXC
4704,BAN
4705,PAXG
4709,XLAB
4710,CERE
4712,AMON
4715,TKX
4737,IUT
4746,QTCON
4747,VLX
4752,CUT
4754,ILK
4757,XRT
4758,DF
4760,XPN
4761,NU
4769,EOSC
4773,NODE
4774,1GOLD
4777,AZ
4779,HUSD
4782,TN
4786,MDTK
4787,BTCV
4792,VOTE
4793,DILI
4794,FNB
4797,SMILE
4800,MOGX
4801,CDEX
4803,XRP-BF2
4804,ROOBEE
4805,VNDC
4807,CTK
4808,BCNT
4809,WIKEN
4818,XSR
4819,DMME
4823,ZYTH
4824,SYM
4826,ZUM
4834,GLS
4835,NOVA
4841,SUTER
4842,FLG
4844,MCH
4846,KAVA
4847,STX
4848,FORESTPLUS
4850,LINKA
4860,ES
4862,DAD
4864,SCH
4865,NII
4866,GRIMM
4867,BTZC
4870,MES
4881,GDR
4885,IRA
4887,RAE
4890,NWC
4892,MLGC
4894,RINGX
4901,ANCT
4903,INFS
4909,MERGE
4910,CDL
4915,UCX
4916,MODEX
4917,DEXA
4918,BNKR
4920,AET
4927,GRG
4928,MDM
4929,JDC
4936,LOL
4940,KUV
4943,DAI
4944,TRB
4946,VINCI
4948,CKB
4950,LCX
4951,ZYN
4953,"FCT,FCT2"
4955,CXC
4956,MAP
4957,BIP
4974,EXM
4975,NST
4978,WOW
4979,PEG
4980,SEED
4983,DMTC
4984,MACH
4985,ARDX
4991,PHT
4996,ULG
4997,XIO
5001,GC
5002,SCAP
5003,VAULT
5005,ARX
5007,TROY
5011,ALY
5015,HEX
5016,INNBC
5019,CALL
5024,ALLBI
5025,JADE
5026,OXT
5028,ROAD
5031,MWC
5034,KSM
5038,CASH
5039,STS
5046,STM
5049,VRSC
5052,ANK
5056,BULL
5060,XNC
5062,BEPRO
5065,AXL
5067,MAX
5068,USDN
5070,XTP
5072,RKN
5074,UBU
5076,GLOB
5078,THE
5079,APM
5083,CUR
5084,PLF
5086,UPI
5088,GUAP
5090,GGC
5097,onLEXpa
5099,HANA
5103,IPX
5108,808TA
5109,FRED
5113,SURE
5114,CNB
5115,KRT
5117,OGN
5125,MCM
5126,SOC
5127,HTDF
5130,KTT
5132,UNIS
5135,AfroX
5143,DMS
5154,BKK
5155,NYZO
5157,BULL
5158,BEAR
5159,WEST
5160,DUN
5161,WRX
5165,EDI
5168,BXC
5169,PYRO
5170,IFX24
5174,BUX
5175,BTCV
5176,XAUT
5179,CLX
5180,BFF
5181,TRYB
5184,BTCP
5185,KOK
5187,JRT
5189,AK12
5190,FLEX
5192,KONJ
5198,CTC
5200,GLEEC
5203,PMGT
5204,R2R
5208,WPX
5214,PHT
5216,ETHBEAR
5217,ETHBULL
5219,USDB
5220,XQC
5221,HNS
5224,JUV
5225,BAR
5226,PSG
5227,ATM
5228,GAL
5229,ASR
5233,WCC
5234,DNA
5236,KEMA
5246,VX
5247,ZFL
5251,LAR
5253,HUSL
5255,LBK
5258,APIX
5259,EMRALS
5263,CDAI
5265,CUSDC
5266,MLK
5267,QBZ
5268,EWT
5270,FCH
5274,EDG
